208
-1	1280	1248	32	144	
-1	1344	1408	192	48	
-1	1792	1408	192	16	
-1	1792	1424	96	16	
-1	1280	1456	32	64	
-1	1504	1456	32	64	
-1	1280	1520	64	16	
-1	1504	1664	32	96	
-1	1792	1728	128	32	
-1	1792	1760	64	32	
-1	1280	1792	64	32	
-1	1792	1792	32	240	
-1	1280	1824	96	48	
-1	1280	1904	32	64	
-1	3088	1936	16	32	
-1	1280	1968	64	16	
-1	1280	2032	32	64	
-1	1504	2032	32	176	
-1	1792	2032	96	32	
-1	1792	2064	128	32	
-1	1280	2096	208	48	
-1	1792	2096	512	32	
-1	3088	2096	256	32	
-1	1472	2144	16	32	
-1	1344	2208	16	96	
-1	1472	2240	64	64	
-1	1216	2336	320	32	
-1	832	2368	192	16	
-1	864	2384	160	16	
-1	880	2400	144	16	
-1	928	2416	96	16	
-1	944	2432	80	16	
-1	960	2448	64	64	
-1	992	2544	32	128	
-1	816	2704	16	32	
-1	832	3168	16	96	
-1	960	3200	64	64	
-1	704	3296	320	32	
-1	1280	1392	48	64	
-1	1792	1440	80	32	
-1	1792	1472	96	32	
-1	1792	1504	64	32	
-1	1280	1536	32	256	
-1	1792	1536	32	96	
-1	1792	1632	96	96	
-1	1504	1840	32	128	
-1	1280	1872	208	32	
-1	3088	1920	256	16	
-1	3328	1936	16	160	
-1	1280	1984	32	32	
-1	1504	1984	32	32	
-1	1280	2016	64	16	
-1	1216	2320	64	16	
-1	960	2528	64	16	
-1	992	2768	32	144	
-1	800	2832	48	32	
-1	816	2992	16	32	
-1	992	3008	32	160	
-1	704	3280	64	16	
-1	1632	1280	160	32	
-1	1568	1312	416	32	
-1	1536	1344	288	32	
-1	1504	1376	480	16	
-1	2000	1376	16	48	
-1	1344	1392	640	16	
-1	1904	1472	112	32	
-1	1472	1520	64	64	
-1	1888	1568	32	16	
-1	1952	1568	32	16	
-1	1344	1584	192	48	
-1	1328	1632	208	32	
-1	1904	1632	16	64	
-1	1472	1760	64	32	
-1	1440	1792	96	32	
-1	1904	1808	32	16	
-1	2000	1808	32	16	
-1	1408	1824	128	16	
-1	1840	1872	208	32	
-1	1472	1968	64	16	
-1	1408	2000	32	16	
-1	1360	2016	16	16	
-1	1472	2016	64	16	
-1	2208	2064	976	32	
-1	1376	2208	16	32	
-1	1424	2208	112	32	
-1	1040	2256	32	16	
-1	1120	2272	64	32	
-1	1216	2288	32	32	
-1	1376	2288	48	16	
-1	1088	2304	96	32	
-1	1456	2304	80	32	
-1	960	2336	224	16	
-1	832	2352	352	16	
-1	816	2464	80	16	
-1	816	2512	16	16	
-1	848	2512	176	16	
-1	816	2592	64	32	
-1	912	2592	64	32	
-1	960	2672	64	32	
-1	928	2704	96	64	
-1	896	2736	16	32	
-1	800	2800	32	32	
-1	896	2832	80	32	
-1	928	2912	96	32	
-1	896	2944	128	32	
-1	864	2976	160	32	
-1	768	3072	160	32	
-1	960	3072	16	64	
-1	864	3168	16	32	
-1	912	3168	112	32	
-1	0	3200	80	16	
-1	96	3200	64	16	
-1	176	3200	16	16	
-1	224	3200	112	16	
-1	352	3200	64	16	
-1	432	3200	16	16	
-1	480	3200	32	16	
-1	528	3216	32	16	
-1	608	3232	64	32	
-1	704	3248	32	32	
-1	864	3248	48	16	
-1	576	3264	96	32	
-1	944	3264	80	32	
-1	0	3296	672	32	
-1	1376	1552	32	32	
-1	1376	2064	32	32	
-1	1152	2240	32	32	
-1	128	3168	32	32	
-1	384	3168	32	32	
-1	640	3200	32	32	
-1	160	3232	32	32	
-1	416	3232	32	32	
-1	128	3264	64	32	
-1	384	3264	64	32	
-1	2256	1920	48	48	
-1	2256	1968	848	32	
-2	1984	1376	16	96	
-2	1328	1392	16	96	
-2	1888	1472	16	32	
-2	1344	1520	16	64	
-2	1312	1632	16	160	
-2	1888	1632	16	64	
-2	1488	1872	16	96	
-2	1824	1872	16	96	
-2	1344	2016	16	80	
-2	1488	2096	16	112	
-2	1360	2208	16	96	
-2	816	2352	16	112	
-2	832	2512	16	80	
-2	976	2592	16	80	
-2	800	2704	16	96	
-2	912	2736	16	96	
-2	976	2832	16	80	
-2	800	2992	16	80	
-2	976	3072	16	96	
-2	848	3168	16	96	
-2	80	3200	16	96	
-2	160	3200	16	32	
-2	336	3200	16	96	
-2	416	3200	16	32	
-1	2000	1712	32	32	
5	256	3181	16	20	0	3104	1024	192	
5	319	3168	16	20	0	3104	1024	192	
5	304	3244	16	20	0	3104	1024	192	
5	576	3182	16	20	0	3104	1024	192	
5	628	3232	16	20	0	3104	1024	192	
5	639	3165	16	20	0	3104	1024	192	
6	817	3168	15	16	688	3104	336	192	
6	945	3216	15	16	672	3104	352	192	
6	976	3012	15	16	768	2854	230	217	
6	880	2944	15	16	768	2854	230	217	
6	912	2912	15	16	768	2854	230	217	
106	849	2832	15	16	768	2624	230	230	
6	912	2704	15	16	768	2624	230	230	
6	944	2672	15	16	768	2624	230	230	
106	881	2592	15	16	768	2380	230	243	
6	944	2448	15	16	768	2380	230	243	
6	912	2417	15	16	768	2380	230	243	
7	1103	2276	14	19	793	2188	691	166	
7	1124	2252	14	19	793	2188	691	166	
7	1152	2221	14	19	780	2188	704	166	
2	1453	2268	16	16	1203	2188	281	153	
102	1344	2308	16	16	1190	2188	294	153	
102	1376	2244	16	16	1190	2188	294	153	
102	1360	2037	16	16	1305	1894	204	204	
2	1485	2033	16	16	1305	1894	204	204	
2	1388	2000	16	16	1305	1894	204	204	
2	1350	1968	16	16	1305	1894	204	204	
2	1380	1824	16	16	1305	1625	204	256	
2	1449	1760	16	16	1305	1625	204	256	
2	1472	1728	16	16	1305	1625	204	256	
102	1408	1844	16	16	1305	1625	204	256	
102	1328	1542	16	16	1305	1446	217	192	
102	1472	1463	16	16	1292	1446	230	192	
2	1314	1584	16	16	1280	1446	243	192	
2	1316	1488	16	16	1292	1446	230	192	
2	1414	1552	16	16	1292	1446	230	192	
5	1904	1292	16	20	1779	1216	268	166	
5	1935	1356	16	20	1779	1216	268	166	
5	1968	1260	16	20	1779	1216	268	166	
-11	1827	1357	14	16	
4	2032	1546	17	21	1792	1472	256	166	
4	2032	1784	17	21	1792	1638	256	256	
3	2016	2031	32	48	1792	1894	409	204	
8	2540	2047	16	16	2521	2035	51	38	
108	2736	2001	16	16	2726	1996	38	25	
8	2911	2047	16	16	2905	2035	25	38	
9	3276	2058	25	32	3097	1932	230	166	
